District Name,District NCES/CCD ID Code,School Name,School NCES/CCD ID Code,School Received Title I Funds for SY 2006-2007?,Area(s) in Which School Did Not Meet AYP,,,,,,Made AYP for SY 2006- 2007?,School Improvement Status for SY 2007-2008
Valley Local SD,3904964,Valley Middle School,390496403660,No,No,Yes,No,Yes,Yes,,No,SI-1
Van Wert City SD,3910023,S.F. Goedde Elementary School,391002301886,Yes,No,Yes,Yes,Not Rated,Yes,,No,SI-1
Van Wert City SD,3910023,Van Wert Middle School,391002301885,No,No,Yes,No,Yes,Yes,,No,SI-1
Vanlue Local SD,3904747,Vanlue Elementary School,390474702901,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Victory Academy of Toledo,3900131,Victory Academy of Toledo,390013104181,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Virtual Community School of Ohio,3900217,Virtual Community School of Ohio,390021704741,Yes,No,Yes,No,Yes,,Yes,No,CA
"Virtual Schoolhouse, Inc.",3900311,"Virtual Schoolhouse, Inc.",390031104848,Yes,No,No,No,No,,Yes,No,SI-2
W.C. Cupe Community School,3900122,W.C. Cupe Community School,390012204131,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-2 (Delay)
Wadsworth City SD,3910029,Wadsworth Middle School,391002901891,Yes,Yes,No,No,No,Yes,,No,SI-1
Wapakoneta City SD,3904498,Wapakoneta High School,390449801904,No,No,Yes,No,Yes,,Yes,No,CA
Wapakoneta City SD,3904498,Wapakoneta Middle School,390449801898,No,No,Yes,No,Yes,Yes,,No,SI-2
Warren City SD,3904499,Warren G. Harding High School,390449901922,No,No,Yes,No,Yes,,Yes,No,SI-2
Warren City SD,3904499,Washington High School,390449904562,No,No,Yes,No,Yes,,No,No,CA
Warren Local SD,3910018,Barlow-Vincent Elementary School,391001803967,No,No,Yes,No,Yes,Yes,,No,SI-1
Warrensville Heights City SD,3904500,Randallwood Elementary School,390450001929,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Warrensville Heights City SD,3904500,Warrensville Heights High School,390450001930,No,No,Yes,No,Yes,,Yes,No,SI-1
Warrensville Heights City SD,3904500,Warrensville Heights Middle School,390450001931,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Washington Court House City SD,3910011,Belle Aire Elementary School,391001101933,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Washington Court House City SD,3910011,Sunnyside Kindergarten Elementary School,391001104475,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Washington Court House City SD,3910011,Washington Middle School,391001101938,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Washington Local SD,3904823,Greenwood Elementary School,390482303156,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-2 (Delay)
Washington Local SD,3904823,Jefferson Junior High School,390482303161,No,Yes,Yes,No,Yes,Yes,,No,CA
Washington Local SD,3904823,Washington Junior High School,390482304231,No,Yes,Yes,Yes,Yes,Yes,,Yes,SI-2 (Delay)
Washington Local SD,3904823,Whitmer High School,390482303171,No,Yes,Yes,Yes,Yes,,Yes,Yes,SI-2 (Delay)
Washington-Nile Local SD,3904965,Portsmouth West Elementary School,390496501452,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Waterloo Local SD,3904924,Waterloo Middle School,390492403543,Yes,Yes,Yes,No,Yes,Yes,,No,SI-2
Waverly City SD,3904914,Waverly High School,390491403506,No,No,Yes,Yes,Yes,,Yes,No,SI-1
Waverly City SD,3904914,Waverly Intermediate Elementary School,390491403507,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Waverly City SD,3904914,Waverly Junior High School,390491403505,No,No,Yes,No,Yes,Yes,,No,SI-2
Waverly City SD,3904914,Waverly Primary Elementary School,390491403504,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Waynesfield-Goshen Local SD,3904597,Waynesfield-Goshen Local Elementary School,390459702394,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Wellston City SD,3904502,Bundy Elementary School,390450201939,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Wellston City SD,3904502,Wellston High School,390450201942,No,Yes,Yes,Yes,Yes,,Yes,Yes,SI-1 (Delay)
Wellston City SD,3904502,Wellston Intermediate Elementary School,390450201941,Yes,No,Yes,No,Yes,Yes,,No,SI-1
West Carrollton City SD,3904505,West Carrollton High School,390450501969,No,Yes,No,Yes,No,,Yes,No,SI-1
West Carrollton City SD,3904505,West Carrollton Middle School,390450501970,No,No,Yes,No,Yes,Yes,,No,SI-1
West Clermont Local SD,3904635,Glen Este Middle School,390463502526,No,No,Yes,No,Yes,Yes,,No,SI-1
Western Brown Local SD,3904606,Mount Orab Middle School,390460600427,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Western Local SD,3904915,Western Elementary School,390491503510,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Westerville City SD,3904504,Genoa Middle School,390450401362,No,No,Yes,No,Yes,Yes,,No,SI-1
Westerville City SD,3904504,Hawthorne Elementary School,390450401954,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Westerville City SD,3904504,Heritage Middle School,390450404369,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Westerville City SD,3904504,Mark Twain Elementary School,390450401957,No,No,Yes,No,Yes,Yes,,No,SI-1
Westerville City SD,3904504,McVay Elementary School,390450404367,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Westerville City SD,3904504,Walnut Springs Middle School,390450401960,No,No,Yes,No,Yes,Yes,,No,SI-1
Westerville City SD,3904504,Wilder Elementary School,390450404368,No,No,Yes,No,Yes,Yes,,No,SI-1
Westfall Local SD,3904910,Westfall Elementary School,390491004650,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Westlake City SD,3904506,Lee Burneson Middle School,390450601975,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Whitehall City SD,3904507,Beechwood Elementary School,390450701978,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Whitehall City SD,3904507,Etna Road Elementary School,390450701979,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Whitehall City SD,3904507,Kae Avenue Elementary School,390450701980,Yes,Yes,Yes,No,Yes,Yes,,No,SI-1
Whitehall City SD,3904507,Rosemore Middle School,390450701982,No,No,Yes,No,Yes,Yes,,No,SI-2
Whitehall City SD,3904507,Whitehall Yearling High School,390450701983,No,Yes,Yes,Yes,Yes,,Yes,Yes,SI-2 (Delay)
Whitehall Preparatory and Fitness Academy,3900550,Whitehall Preparatory and Fitness Academy,390055005262,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Willard City SD,3904509,Central Elementary School,390450901989,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Willard City SD,3904509,Willard Middle School,390450901993,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Willoughby-Eastlake City SD,3904510,Royalview Elementary School,390451002007,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Wilmington City SD,3904511,Wilmington Middle School,390451102018,No,No,Yes,No,Yes,Yes,,No,SI-1
Windham Exempted Village SD,3904566,Katherine Thomas Elementary School,390456602325,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Winterfield Venture Academy,3900302,Winterfield Venture Academy,390030204839,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Wolf Creek Local SD,3905051,Waterford Elementary School,390505103973,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Woodridge Local SD,3904997,Woodridge Intermediate Elementary School,390499700704,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Woodridge Local SD,3904997,Woodridge Middle School,390499703778,No,No,Yes,Yes,Yes,Yes,,No,SI-1 (Delay)
Woodridge Local SD,3904997,Woodridge Primary Elementary School,390499703779,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Wooster City SD,3910032,Opportunity High School,391003201363,No,No,Yes,No,Yes,Yes,,No,SI-1
Wooster City SD,3910032,Wooster High School,391003202033,No,No,Yes,No,Yes,,Yes,No,SI-1
Xenia Community City SD,3904515,Central Middle School,390451502050,No,No,Yes,No,Yes,Yes,,No,SI-1
Xenia Community City SD,3904515,McKinley Elementary School,390451502052,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Xenia Community City SD,3904515,Simon Kenton Elementary School,390451502054,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Xenia Community City SD,3904515,Warner Middle School,390451502058,No,No,Yes,No,Yes,Yes,,No,SI-1
Xenia Community City SD,3904515,Xenia High School,390451502059,No,No,Yes,No,Yes,,Yes,No,R-P
Youngstown City SD,3904516,Alpha Middle School,390451605121,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Youngstown City SD,3904516,Athena Middle School,390451605122,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Youngstown City SD,3904516,East High School,390451602082,No,Yes,Yes,No,Yes,,Yes,No,CA
Youngstown City SD,3904516,Hayes Middle School,390451602071,Yes,Yes,Yes,No,Yes,Yes,,No,R-P
Youngstown City SD,3904516,Kirkmere Elementary School,390451602075,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Youngstown City SD,3904516,Odyssey High School,390451604568,No,Yes,No,No,No,,Yes,No,CA
Youngstown City SD,3904516,P. Ross Berry Middle School,390451602066,Yes,No,Yes,No,Yes,Yes,,No,R-P
Youngstown City SD,3904516,Paul C. Bunn Elementary School,390451602062,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Youngstown City SD,3904516,Taft Elementary School,390451602088,Yes,No,Yes,No,Yes,Yes,,No,R-I
Youngstown City SD,3904516,Volney Rogers Junior High School,390451602089,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Youngstown City SD,3904516,West Elementary School,390451602091,Yes,Yes,Yes,No,Yes,Yes,,No,SI-1 (Delay)
Youngstown City SD,3904516,Williamson Elementary School,390451602094,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Youngstown Community School,3900017,Youngstown Community School,390001701509,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Zanesville City SD,3904517,Cleveland Middle School,390451702096,No,No,Yes,Yes,Yes,Yes,,No,CA
Zanesville City SD,3904517,National Road Elementary School,390451705123,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Zanesville City SD,3904517,Roosevelt Middle School,390451702107,No,No,Yes,Yes,Yes,Yes,,No,CA
Zanesville City SD,3904517,Wilson Elementary School,390451702110,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Zanesville City SD,3904517,Zanesville High School,390451702111,No,No,Yes,No,Yes,,Yes,No,CA
