Titel,Orginaltitel,År,Regissör,Ditt betyg,Datum,IMDB#
Lejonkungen 2 - Simbas skatt,The Lion King II: Simba's Pride,1998,"Darrell Rooney, Rob LaDuca",,,120131
Apflickorna,Apflickorna,2011,Lisa Aschan,,,1827358
Masters of Horror - Dream Cruise,Masters of Horror - Dream Cruise,2007,Norio Tsuruta,,,868394
Masters of Horror - We All Scream for Ice Cream,Masters of Horror - We All Scream for Ice Cream,2007,Tom Holland (I),,,817402
Masters of Horror - Right to Die,Masters of Horror - Right to Die,2007,Rob Schmidt,,,871197
Masters of Horror - Valerie on the Stairs,Masters of Horror - Valerie on the Stairs,2006,Mick Garris,,,805420
Ghost Rider: Spirit of Vengeance,Ghost Rider: Spirit of Vengeance,2012,"Mark Neveldine, Brian Taylor",,,1071875
Surrogates,Surrogates,2009,Jonathan Mostow,,,986263
Babylonsjukan,Babylonsjukan,2004,Daniel Espinosa,,,400199
Batman: Year One,Batman: Year One,2011,"Sam Liu, Lauren Montgomery",,,1672723
The Ninth Legion,9 rota,2005,Fjodor Bondartjuk,,,417397
The World of Stainboy,The World of Stainboy,2000,Tim Burton,,,400231
Snow White and the Huntsman,Snow White and the Huntsman,2012,Rupert Sanders,,,1735898
Dark Shadows,Dark Shadows,2012,Tim Burton,,,1077368
The Black Mamba,The Black Mamba,2011,Robert Rodriguez,,,1837673
Harakiri,Seppuku,1962,Masaki Kobayashi,,,56058
The Avengers,The Avengers,2012,Joss Whedon,,,848228
Mupparna,The Muppets,2011,James Bobin,,,1204342
Milf,Milf,2010,Scott Wheeler,,,1730704
[REC] 3: Genesis,[REC]³ Génesis,2012,Paco Plaza,,,1649444
Miss Muerte,Miss Muerte,1966,Jesus Franco,,,60701
Sex Drive,Sex Drive,2008,Sean Anders,,,1135985
Faster,Faster,2010,George Tillman Jr,,,1433108
Contagion,Contagion,2011,Steven Soderbergh,,,1598778
Kvarteret Skatan reser till Laholm,Kvarteret Skatan reser till Laholm,2012,Mikael Syrén,,,2243361
The Hunger Games,The Hunger Games,2012,Gary Ross,,,1392170
Witchville,Witchville,2010,Pearry Reginald Teo,,,1506458
Turn Off Your Bloody Phone!,Turn Off Your Bloody Phone!,2012,Can Evrenol,,,
[Rec] 2,[Rec] 2,2009,"Jaume Balagueró, Paco Plaza",,,1245112
Attack on a Piquet,Attack on a Piquet,1899,Sir Robert Ashe,,,2823418
At the Photographer's,Chez le photographe,1900,Alice Guy,,,284
As Seen Through a Telescope,As Seen Through a Telescope,1900,George Albert Smith,,,272
Arrivée d'un train à Perrache,Arrivée d'un train à Perrache,1896,Louis Lumière,,,1184936
Après le bal,Après le bal,1897,Georges Méliès,,,222735
An Exciting Pillow Fight,An Exciting Pillow Fight,1900,,,,
Airy Fairy Lillian Tries on Her New Corsets,Airy Fairy Lillian Tries on Her New Corsets,1905,,,,257379
A Wringing Good Joke,A Wringing Good Joke,1899,James H White,,,243669
A Fire in a Burlesque Theatre,A Fire in a Burlesque Theatre,1904,,,,257676
A Camp Smithy,A Camp Smithy,1899,,,,1666729
Lorax,Dr. Seuss' The Lorax,2012,"Chris Renaud, Kyle Balda",,,1482459
Virtuosity,Virtuosity,1995,Brett Leonard,,,114857
The Raid  Uppgörelsen,Serbuan maut,2011,Gareth Evans,,,1899353
The Dictator,The Dictator,2012,Larry Charles,,,1645170
Wilderness,Wilderness,2006,Michael J Bassett,,,465670
Det största äventyret,The Adventures of the Wilderness Family,1975,Stewart Raffill,,,72610
Monsterwolf,Monsterwolf,2010,Todor Chapkanov,,,1535608
Insidious,Insidious,2010,James Wan,,,1591095
En ny start,We Bought a Zoo,2011,Cameron Crowe,,,1389137
Battleship,Battleship,2012,Peter Berg,,,1440129
Pelikanmannen,Pelikaanimies,2004,Liisa Helminen,,,372461
Space Dogs,Belka i Strelka. Zvezdnye sobaki,2010,"Inna Evlannikova, Svyatoslav Ushakov",,,1272051
Flicka - Den bruna mustangen,Flicka,2006,Michael Mayer (II),,,434215
Mission: Impossible 3,Mission: Impossible III,2006,JJ Abrams,,,317919
John Carter,John Carter,2012,Andrew Stanton,,,401729
Man on a Ledge,Man on a Ledge,2012,Asger Leth,,,1568338
Wrath of the Titans,Wrath of the Titans,2012,Jonathan Liebesman,,,1646987
Iron Sky,Iron Sky,2012,Timo Vuorensola,,,1034314
Lucky You,Lucky You,2007,Curtis Hanson,,,338216
Exponerad,Exponerad,1971,Gustav Wiklund,,,67076
Ronal the Barbarian,Ronal barbaren,2011,"Kresten Vestbjerg Andersen, Thorbjørn Christoffersen, Philip Einstein Lipski",,,1629374
Hugo Cabret,Hugo,2011,Martin Scorsese,,,970179
Let Me In,Let Me In,2010,Matt Reeves,,,1228987
War Horse,War Horse,2011,Steven Spielberg,,,1568911
Vampyros Lesbos,Vampiros lesbos,1971,Jesus Franco,,,66380
Chronicle,Chronicle,2012,Josh Trank,,,1706593
Tarzan,Tarzan,1999,"Chris Buck, Kevin Lima",,,120855
Tangled Ever After,Tangled Ever After,2012,"Nathan Greno, Byron Howard",,,2112281
The Arrival,The Arrival,1996,David Twohy,,,115571
Valiant och de fjäderlätta hjältarna,Valiant,2005,Gary Chapman,,,361089
Den stora jakten,The Big Year,2011,David Frankel,,,1053810
Hajen 3,Jaws 3-D,1983,Joe Alves,,,85750
Super 8,Super 8,2011,JJ Abrams,,,1650062
Balls Out,Balls Out: Gary the Tennis Coach,2009,Danny Leiner,,,787470
The Darkest Hour,The Darkest Hour,2011,Chris Gorak,,,1093357
Pearl Jam Twenty,Pearl Jam Twenty,2011,Cameron Crowe,,,1417592
Atlantis - Milos återkomst,Atlantis: Milo's Return,2003,Thomas Hart,,,344864
Wallace & Gromit  Fel brallor,Wallace & Gromit in The Wrong Trousers,1993,Nick Park,,,108598
Hype!,Hype!,1996,Doug Pray,,,116589
Mästerkatten,Puss in Boots,2011,Chris Miller (I),,,448694
Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A Game of Shadows,2011,Guy Ritchie,,,1515091
Tintin - Den mystiska stjärnan,L'Étoile mystérieuse,1991,Stéphane Bernasconi,,,837228
Alvin och gänget 2,Alvin and the Chipmunks: The Squeakquel,2009,Betty Thomas,,,1231580
Milo mot Mars ,Mars Needs Moms,2011,Simon Wells,,,1305591
Primeval,Primeval,2007,Michael Katleman,,,772193
Charlie Wilson's War,Charlie Wilson's War,2007,Mike Nichols,,,472062
"Rasist, javisst?","Rasist, javisst?",1993,Leon Flamholc,,,
God Bless Ozzy Osbourne,God Bless Ozzy Osbourne,2011,"Mike Fleiss, Mike Piscitelli",,,1785389
Tintin - Krabban med guldklorna,Le crabe aux pinces d'or,1991,Stéphane Bernasconi,,,
Murder at the Cannes Film Festival,Murder at the Cannes Film Festival,2000,Harvey Frost,,,245301
Rubber,Rubber,2010,Quentin Dupieux,,,1612774
Happy Feet 2,Happy Feet Two,2011,George Miller (II),,,1402488
Astérix & Obélix: Uppdrag Kleopatra,Asterix & Obélix: Mission Cléopâtre,2002,Alain Chabat,,,250223
Global Metal,Global Metal,2008,"Sam Dunn, Scot McFadyen",,,1249171
Until the Light Takes Us,Until the Light Takes Us,2008,"Aaron Aites, Audrey Ewell",,,1014809
Black Metal Satanica,Black Metal Satanica,2008,Mats Lundberg,,,
Lejontämjaren,Lejontämjaren,2003,Manne Lindwall,,,302713
Goltuppen,Goltuppen,1991,Per Berglund,,,101109
Hoppa högst ,Hoppa högst,1989,Johanna Hald,,,233886
Hjältehunden från New York,Chestnut: Hero of Central Park,2004,Robert Vince,,,387925
Masters of Horror - The Screwfly Solution,Masters of Horror - The Screwfly Solution,2006,Joe Dante,,,833098
Masters of Horror - Pelts,Masters of Horror - Pelts,2006,Dario Argento,,,779496
Masters of Horror - The Washingtonians,Masters of Horror - The Washingtonians,2007,Peter Medak,,,854548
Big Tits Zombies,Kyonyû doragon: Onsen zonbi vs sutorippâ 5,2010,Takao Nakano,,,1642252
Dag & natt,Day & Night,2010,Teddy Newton,,,1620446
Tintins äventyr: Enhörningens hemlighet,The Adventures of Tintin,2011,Steven Spielberg,,,983193
Apornas planet: (r)Evolution,Rise of the Planet of the Apes,2011,Rupert Wyatt,,,1318514
Resident Evil: Afterlife,Resident Evil: Afterlife,2010,Paul W S Anderson,,,1220634
"Crazy, Stupid, Love.","Crazy, Stupid, Love.",2011,"Glenn Ficarra, John Requa",,,1570728
Snuten i varuhuset,Paul Blart: Mall Cop,2009,Steve Carr,,,1114740
Tintin hos gerillan,Tintin et les Picaros,1991,Stéphane Bernasconi,,,
Patch Adams,Patch Adams,1998,Tom Shadyac,,,129290
Mannen som red in i Dakota,Welcome to Hard Times,1967,Burt Kennedy,,,62482
Toy Story - Semester på Hawaii,Hawaiian Vacation,2011,Gary Rydstrom,,,1850374
Nalle Puh - Nya äventyr i Sjumilaskogen,Winnie the Pooh,2011,"Stephen J Anderson, Don Hall",,,1449283
Greven av Monte Cristo,The Count of Monte Cristo,2002,Kevin Reynolds,,,245844
Oss torpeder emellan 2,The Whole Ten Yards,2004,Howard Deutch,,,327247
Vendetta,Vendetta,1995,Mikael Håfström,,,114829
Lego: Clutch Powers äventyr,Lego: The Adventures of Clutch Powers,2010,Howard E Baker,,,1587414
Lego Star Wars: The Padawan Menace,Lego Star Wars: The Padawan Menace,2011,David Scott,,,2005268
Åsa-Nisse - Wälkom to Knohult,Åsa-Nisse - Wälkom to Knohult,2011,Fredrik Boklund,,,1609808
All Good Things,All Good Things,2010,Andrew Jarecki,,,1175709
Klippet,Klippet,1982,Jan Halldoff,,,84217
Attack the Block,Attack the Block,2011,Joe Cornish,,,1478964
Gullivers resor,Gulliver's Travels,2010,Rob Letterman,,,1320261
Tintin - Kung Ottokars spira,Le Sceptre D'Ottokar,1991,Stéphane Bernasconi,,,
Banana,Banana,2010,"Kyle Balda, Samuel Tourneux",,,1814643
Herbie i Monte Carlo,Herbie Goes to Monte Carlo,1977,Vincent McEveety,,,76137
"Food, Inc.","Food, Inc.",2008,Robert Kenner,,,1286537
Mortadelo & Filemóns ändlösa äventyr,La Gran Aventura de Mortadelo y Filemon,2003,Javier Fesser,,,314121
Cowboys and Aliens,Cowboys and Aliens,2011,Jon Favreau,,,409847
Bogus,Bogus,1996,Norman Jewison,,,115725
En underbar dag,One Fine Day,1996,Michael Hoffman,,,117247
Nalle Puh: Vårkul med Ru,Winnie the Pooh: Springtime with Roo,2004,Saul Andrew Blinkoff,,,384696
Priest,Priest,2011,Scott Charles Stewart,,,822847
Angel-A,Angel-A,2005,Luc Besson,,,473753
Det magiska landet,Azur et Asmar,2006,Michel Ocelot,,,439123
Justin Bieber: Never Say Never,Justin Bieber: Never Say Never,2011,Jon Chu,,,1702443
Real Steel,Real Steel,2011,Shawn Levy,,,433035
Morning Glory,Morning Glory,2010,Roger Michell,,,1126618
Balto 2 - Flykten över det stora vattnet,Balto II: Wolf Quest,2001,Phil Weinstein,,,281634
Balto 3 - Förändringens vindar,Balto III: Wings of Change,2004,Phil Weinstein,,,423849
Balto,Balto,1995,Simon Wells,,,112453
Alpha and Omega.,Alpha and Omega,2010,"Anthony Bell, Ben Gluck",,,1213012
Buffalo Soldiers,Buffalo Soldiers,2001,Gregor Jordan,,,252299
Drömprinsen - filmen om Em,Drömprinsen - filmen om Em,1996,Ella Lemhagen,,,116149
The Bridge,The Bridge,2006,"Eric Steel, Raymond Wood, Randall Blizzard",,,799954
Baksmällan del II,The Hangover Part II,2011,Todd Phillips,,,1411697
Hårda bud,Raw Deal,1986,John Irvin,,,91828
Livet i 8 bitar,Livet i 8 bitar,2002,Jonathan Metzger,,,323084
Galaxina,Galaxina,1980,William Sachs,,,80771
Frantic,Frantic,1988,Roman Polanski,,,95174
Endast de tappra,None But the Brave,1965,Frank Sinatra,,,59518
Legenden om Zorro,Legend of Zorro,2005,Martin Campbell,,,386140
Andy Warhols Frankenstein,Flesh for Frankenstein,1973,"Antonio Margheriti, Paul Morrissey",,,71508
Devil's Playground,Devil's Playground,2010,Mark McQueen,,,1453245
Underbara människor,Beautiful People,1999,Jasmin Dizdar,,,159272
Funny People,Funny People,2009,Judd Apatow,,,1201167
Go'natt herr luffare,Go'natt herr luffare,1988,Daniel Bergman,,,95226
Perrongen,Perrongen,2008,Thérèse Ahlbeck,,,
Jonah Hex,Jonah Hex,2010,Jimmy Hayward,,,1075747
Tord och Tord,Tord och Tord,2010,Niki Lindroth von Bahr,,,1868084
Lyckliga jävel,Lyckliga jävel,2010,Ronnie Sandahl,,,1961402
Vinter-vik,-40°C,2007,Paul Davis,,,
När våren sjunger,När våren sjunger,2008,Aase Högfeldt,,,1666547
Jag är din krigare,Jag är din krigare,1997,Stefan Jarl,,,119397
Inte utan min handväska,Not Without My Handbag,1993,Boris Kossmehl,,,107703
Micky badar,Micky bader,2009,Frida Kempff,,,1624397
Leonard-Cushing Fight,Leonard-Cushing Fight,1894,,,,203646
Les dites cariatides bis,Les dites cariatides bis,2005,Agnès Varda,,,
Mein Fenster,Mein Fenster,1979,Zbigniew Rybczynski,,,1332557
Native Daughters,Native Daughters,1898,,,,226203
Next,Next,1989,Barry Purves,,,97966
Palace of Electricity,Palace of Electricity,1900,"James H White, William Heise",,,309973
Panorama of Place De L'Opera,Panorama of Place De L'Opera,1900,James H White,,,230615
Priskandidaternas parad,Parade of the Award Nominees,1932,Walt Disney,,,356994
The Old Maid Having Her Picture Taken,The Old Maid Having Her Picture Taken,1901,"George S Fleming, Edwin S Porter",,,232216
The Piano,The Piano,2005,Aidan Gibbons,,,2162727
The Thrifty Pig,The Thrifty Pig,1941,,,,168221
This Is Me,This Is Me,2006,Sam Arthur,,,
Tom Sweep ,Tom Sweep ,1992,Michael Dudok de Wit,,,368355
Trolldrycken,Trolldrycken,1915,Victor Bergdahl,,,140634
Vill ha dej,I Want You,2003,Alex Norris,,,
Wheelchair Rebecca,Wheelchair Rebecca,2006,Roy T Wood,,,
Winter,Winter,1930,Burt Gillett,,,21556
ZombieNet,ZombieNet,2003,Ulrik Hedin,,,
Éruption volcanique à la Martinique,Éruption volcanique à la Martinique,1902,Georges Méliès,,,224450
Trubbel i Sagoland 2,Happily N'Ever After 2,2009,"Steven E Gordon, Boyd Kirkland",,,1235837
Orca,Orca,1977,Michael Anderson,,,76504
The Crazies,The Crazies,2010,Breck Eisner,,,455407
Papillon,Papillon,1973,Franklin J Schaffner,,,70511
Sanningen om Rödluvan 2,Hoodwinked Too! Hood VS. Evil,2011,Mike Disa,,,844993
Beyond Borders,Beyond Borders,2003,Martin Campbell,,,294357
Operation Outland,Outland,1981,Peter Hyams,,,82869
Bridesmaids,Bridesmaids,2011,Paul Feig,,,1478338
Smurfarna,The Smurfs,2011,Raja Gosnell,,,472181
Yogi Björn,Yogi Bear,2010,Eric Brevig,,,1302067
Kalle Blomkvist och Rasmus,Kalle Blomkvist och Rasmus,1997,Göran Carmback,,,119438
Har du hört ryktet om Morgans? ,Did You Hear About the Morgans?,2009,Marc Lawrence (II),,,1314228
En dag i livet,An Unfinished Life,2005,Lasse Hallström,,,350261
Scooby-Doo! Camp Scare,Scooby-Doo! Camp Scare,2010,Ethan Spaulding,,,1731767
Piranha 3D,Piranha,2010,Alexandre Aja,,,464154
Gränsen,Gränsen,2011,Richard Holm,,,1797396
Green Lantern,Green Lantern,2011,Martin Campbell,,,1133985
Scooby-Doo Kleopatras förbannelse,Scooby Doo in Where's My Mummy?,2005,Joe Sichta,,,480461
Sex and the City 2,Sex and the City 2,2010,Michael Patrick King,,,1261945
Drive,Drive,2011,Nicolas Winding Refn,,,780504
West Side Story,West Side Story,1961,"Robert Wise, Jerome Robbins",,,55614
Lyllo och Zorba,La Gabbianella e il gatto,1998,Enzo D\'Alò,,,122735
Kvällen före jul ,The Night Before Christmas,2002,Michael Sporn,,,920465
Jim och piraterna Blom,Jim och piraterna Blom,1987,Hans Alfredson,,,93311
Familjen Jones,The Joneses,2009,Derrick Borte,,,1285309
Annie,Annie,1982,John Huston,,,83564
The Nanny Diaries,The Nanny Diaries,2007,"Shari Springer Berman, Robert Pulcini",,,489237
(500) Days of Summer,(500) Days of Summer,2009,Marc Webb,,,1022603
Post Grad,Post Grad,2009,Vicky Jenson,,,1142433
Tomten - en vintersaga,Tomten,1941,Gösta Roosling,,,397690
Blåst på konfekten,10,1979,Blake Edwards,,,78721
Razor Blade Smile,Razor Blade Smile,1998,Jake West,,,159693
Female Vampire,Les Avaleuses,1973,Jesus Franco,,,69745
Lesbian Vampire Killers ,Lesbian Vampire Killers ,2009,Phil Claydon,,,1020885
The Treasure of the Living Dead,La tumba de los muertos vivientes,1981,Jesus Franco,,,474531
Inget att förlora,Nothing to Lose,1997,Steve Oedekerk,,,119807
Vampyrer suger,Vampires Suck,2010,"Jason Friedberg, Aaron Seltzer",,,1666186
Garrison,Garrison,2008,Kerry Valderrama,,,985051
Angel,Angel,2008,Colin Nutley,,,1183723
Pensionat Oskar,Pensionat Oskar,1995,Susanne Bier,,,114112
"Den grymme, den starke och den fege",Emperor of the North Pole,1973,Robert Aldrich,,,70030
Dante's Inferno: An Animated Epic,Dante's Inferno: An Animated Epic,2010,"Victor Cook, Kim Sang-Jin, Shuko Murase, Nam Jong-sik, Lee Seung-gyu, Yasuomi Umetsu",,,1594915
"Borta bäst, hemma värst",Four Christmases,2008,Seth Gordon,,,369436
Flipper,Flipper,1963,James B Clark,,,57063
Beaufort,Beaufort,2007,Joseph Cedar,,,758732
Alma,Alma,2009,Rodrigo Blaas,,,1490530
Final Fantasy: Advent Children,Final Fantasy VII: Advent Children,2005,"Tetsuya Nomura, Takeshi Nozue",,,385700
Bugsy,Bugsy,1991,Barry Levinson,,,101516
Covert,Covert,2002,Joe Berger,,,359105
Code Guardian,Code Guardian,2007,Marco Spitoni,,,
Be Human,Be Human,1936,Dave Fleischer,,,27339
Balibalo,Balibalo,2002,Marc Andréoni,,,412480
Baeus,Baeus,1987,Bruno Bozzetto,,,298749
Korsriddarna,Crociati,2001,Dominique Othenin-Girard,,,284717
Utflykt i det okända,Picnic at Hanging Rock,1975,Peter Weir,,,73540
"Loranga, Masarin & Dartanjang","Loranga, Masarin & Dartanjang",2005,Igor Veichtagin,,,-1
"Gasen i botten, Herbie!",The Love Bug,1968,Robert Stevenson,,,64603
Bilar 2,Cars 2,2011,"John Lasseter, Brad Lewis",,,1216475
Ledarhund,Guide Dog,2006,Bill Plympton,,,823470
"Thanks, Smokey!","Thanks, Smokey!",2011,Patrick Scott,,,2005365
Age of Heroes,Age of Heroes,2011,Adrian Vitoria,,,1590950
Duell i Söderhavet,Hell in the Pacific,1968,John Boorman,,,63056
Hopp,Hop,2011,Tim Hill,,,1411704
Stake Land,Stake Land,2010,Jim Mickle,,,1464580
Friday the 13th,Friday the 13th,2009,Marcus Nispel,,,758746
Trouble in L.A.,Elektra Luxx,2010,Sebastian Gutierrez,,,1340773
Paper Man,Paper Man,2009,"Kieran Mulroney, Michele Mulroney",,,1294196
Knowing,Knowing,2009,Alex Proyas,,,448011
Outpost,Outpost,2007,Steve Barker,,,892899
Survival of the Dead ,Survival of the Dead ,2009,George A Romero,,,1134854
Doghouse,Doghouse,2009,Jake West,,,1023500
Hard Rock Zombies,Hard Rock Zombies,1984,Krishna Shah,,,89254
Bikini Bloodbath,Bikini Bloodbath,2006,"Jonathan Gorman, Thomas Edward Seymour",,,874869
Bachelor Party in the Bungalow of the Damned ,Bachelor Party in the Bungalow of the Damned ,2008,Brian Thomson,,,1260562
Transformers 3,Transformers: Dark of the Moon,2011,Michael Bay,,,1399103
Mutants,Mutants,2009,David Morlet,,,1146320
Run! Bitch Run!,Run! Bitch Run!,2009,Joseph Guzman,,,1136684
Harry Potter och dödsrelikerna - Del II,Harry Potter and the Deathly Hallows: Part II,2011,David Yates,,,1201607
Pettson & Findus,Pettson & Findus - Katten och Gubbens år,1999,Albert Hanan Kaminski,,,234458
Batman Legends,Batman Legends,2006,Aaron Schoenke,,,846671
The Perfect Host,The Perfect Host,2010,Nick Tomnay,,,1334553
One-Eyed Monster,One-Eyed Monster,2009,Adam Fields,,,988043
Mothman,The Mothman Prophecies,2002,Mark Pellington,,,265349
Plankan,The Plank,1967,Eric Sykes,,,62133
Nude Nuns with Big Guns,Nude Nuns with Big Guns,2010,Joseph Guzman,,,1352388
Conan the Barbarian,Conan the Barbarian,2011,Marcus Nispel,,,816462
Leva och låta dö,Live and Let Die,1973,Guy Hamilton,,,70328
Scooby-Doo och inkräktarna från rymden,Scooby-Doo and the Alien Invaders,2000,Jim Stenstrum,,,253658
"Aloha, Scooby-Doo","Aloha, Scooby-Doo",2005,Tim Maltby,,,433771
Agent 007 ser rött,From Russia with Love,1963,Terence Young,,,57076
Bamse i trollskogen,Bamse i trollskogen,1991,"Rune Andréasson, Maivor Andréasson",,,236009
Bamse och den lilla åsnan,Bamse och den lilla åsnan,1981,"Rune Andréasson, Maivor Andréasson",,,2038248
Jimmy Hollywood,Jimmy Hollywood,1994,Barry Levinson,,,110197
Metallica: Some Kind of Monster,Metallica: Some Kind of Monster ,2004,"Joe Berlinger, Bruce Sinofsky",,,387412
Eva - den utstötta,Eva - den utstötta,1969,Torgny Wickman,,,64303
Dead Man's Shoes,Dead Man's Shoes,2004,Shane Meadows,,,419677
Captain America: The First Avenger ,Captain America: The First Avenger ,2011,Joe Johnston,,,458339
Inside I'm Dancing,Inside I'm Dancing,2004,Damien O\'Donnell,,,417791
Kim Novak badade aldrig i Genesarets sjö,Kim Novak badade aldrig i Genesarets sjö,2005,Martin Asphaug,,,419881
X-Men: First Class,X-Men: First Class,2011,Matthew Vaughn,,,1270798
Poppers pingviner,Mr. Popper's Penguins,2011,Mark Waters,,,1396218
Trolljägaren,Trolljegeren,2010,André Øvredal,,,1740707
Your Highness,Your Highness,2011,David Gordon Green,,,1240982
Ska vi slå vad?,How to Eat Fried Worms,2006,Bob Dolman,,,462346
Land of the Lost,Land of the Lost,2009,Brad Silberling,,,457400
Kung Fu Panda 2,Kung Fu Panda 2,2011,Jennifer Yuh,,,1302011
Flåklypa grand prix,Flåklypa grand prix,1975,Ivo Caprino,,,73000
Splinter,Splinter,2008,Toby Wilkins,,,1031280
En shopaholics bekännelser,Confessions of a Shopaholic ,2009,P J Hogan,,,1093908
Pirates of the Caribbean: I främmande farvatten,Pirates of the Caribbean: On Stranger Tides,2011,Rob Marshall,,,1298650
Snurre Sprätts 1001 kaninberättelser,Bugs Bunny's 1001 Rabbit  Tales,1982,"Friz Freleng, Chuck Jones, Robert McKimson",,,83701
Crossroads,Crossroads,1986,Walter Hill,,,90888
The Pornographer,Le Pornographe,2001,Bertrand Bonello,,,262699
Kenny Begins,Kenny Begins,2009,"Carl Åstrand, Mats Lindberg",,,1278180
24-timmarsjakten,Innerspace,1987,Joe Dante,,,93260
En tomtesaga,Joulutarina,2007,Juha Wuolijoki,,,772176
